player,team,fgp3,fgp3_nba_range,fga3,fga3_nba_range
Rodney Purvis,Connecticut,0.36131386861313868613,0.35611510791366906475,548,278
Riley Norris,Alabama,0.34293948126801152738,0.35602094240837696335,347,191
Malachi Flynn,Washington State,0.34259259259259259259,0.35593220338983050847,324,177
Reed Timmer,Drake,0.36101083032490974729,0.35593220338983050847,277,118
E.C. Matthews,Rhode Island,0.32500000000000000000,0.35555555555555555556,400,180
Gabe DeVoe,Clemson,0.33832976445396145610,0.35546875000000000000,467,256
Troy Caupain,Cincinnati,0.33860045146726862302,0.35532994923857868020,443,197
Donte DiVincenzo,Villanova,0.36615384615384615385,0.35526315789473684211,325,152
Devin Watson,San Diego State,0.35000000000000000000,0.35507246376811594203,320,138
Riley LaChance,Vanderbilt,0.40175438596491228070,0.35471698113207547170,570,265
Nick Duncan,Boise State,0.35378323108384458078,0.35467980295566502463,489,203
Anthony Cowan Jr.,Maryland,0.34848484848484848485,0.35433070866141732283,198,127
Jamel Artis,Pittsburgh,0.38372093023255813953,0.35403726708074534161,430,161
Spencer Haldeman,Northern Iowa,0.36994219653179190751,0.35398230088495575221,173,113
Nicholas Baer,Iowa,0.37051792828685258964,0.35398230088495575221,251,113
Donte Grantham,Clemson,0.33628318584070796460,0.35359116022099447514,452,181
Melo Trimble,Maryland,0.34518828451882845188,0.35344827586206896552,478,232
Mike Crawford,Saint Louis,0.35064935064935064935,0.35344827586206896552,231,116
Terrence Phillips,Missouri,0.33891213389121338912,0.35338345864661654135,239,133
Muhammad-Ali Abdur-Rahkman,Michigan,0.37871287128712871287,0.35294117647058823529,404,238
Jordan Loveridge,Utah,0.38445378151260504202,0.35260115606936416185,476,173
Grayson Allen,Duke,0.38208168642951251647,0.35204081632653061224,759,392
Anthlon Bell,Arkansas,0.38716356107660455487,0.35204081632653061224,483,196
Jack McVeigh,Nebraska,0.32701421800947867299,0.35185185185185185185,211,108
Shannon Evans II,Arizona State,0.36281179138321995465,0.35177865612648221344,441,253
Devon Bookert,Florida State,0.39572192513368983957,0.35172413793103448276,374,145
Jack Gibbs,Davidson,0.33985330073349633252,0.35148514851485148515,409,202
Otis Livingston II,George Mason,0.36936936936936936937,0.35135135135135135135,222,111
Payton Banks,South Florida,0.33498759305210918114,0.35121951219512195122,403,205
Jovan Mooring,UNLV,0.35034013605442176871,0.35119047619047619048,294,168
Egor Koulechov,Florida,0.40316205533596837945,0.35114503816793893130,253,131
Josh Perkins,Gonzaga,0.38729508196721311475,0.35094339622641509434,488,265
Jaylen Adams,St. Bonaventure,0.36309523809523809524,0.35000000000000000000,336,180
Dominique Collier,Colorado,0.37419354838709677419,0.35000000000000000000,310,160
Matt Mobley,St. Bonaventure,0.36949152542372881356,0.34969325153374233129,295,163
Terry Henderson,North Carolina State,0.36458333333333333333,0.34959349593495934959,288,123
Dwayne Bacon,Florida State,0.31617647058823529412,0.34951456310679611650,272,103
Jordan Chatman,Boston College,0.39083557951482479784,0.34868421052631578947,371,152
Andrew Andrews,Washington,0.36403508771929824561,0.34868421052631578947,456,152
Christian Sengfelder,Boise State,0.35906040268456375839,0.34751773049645390071,298,141
KeVaughn Allen,Florida,0.33761467889908256881,0.34686346863468634686,545,271
Jevon Carter,West Virginia,0.35703001579778830964,0.34653465346534653465,633,303
Malik Pope,San Diego State,0.37272727272727272727,0.34653465346534653465,220,101
Jamal Murray,Kentucky,0.40794223826714801444,0.34615384615384615385,277,130
Gary Trent Jr.,Duke,0.40416666666666666667,0.34513274336283185841,240,113
Eli Cain,DePaul,0.35849056603773584906,0.34502923976608187135,318,171
Payton Pritchard,Oregon,0.38601823708206686930,0.34463276836158192090,329,177
Taurean Prince,Baylor,0.37611940298507462687,0.34453781512605042017,335,119
D'Vauntes Smith-Rivera,Georgetown,0.36727272727272727273,0.34449760765550239234,550,209
Konstantinos Mitoglou,Wake Forest,0.35260115606936416185,0.34375000000000000000,346,128
Phil Booth,Villanova,0.37724550898203592814,0.34375000000000000000,334,160
Stephen Thompson Jr.,Oregon State,0.35545023696682464455,0.34299516908212560386,422,207
Marcquise Reed,Clemson,0.35955056179775280899,0.34285714285714285714,267,140
John Petty,Alabama,0.37656903765690376569,0.34285714285714285714,239,140
James Woodard,Tulsa,0.36170212765957446809,0.34224598930481283422,470,187
Chase Fischer,BYU,0.37500000000000000000,0.34196891191709844560,456,193
Sviatoslav Mykhailiuk,Kansas,0.41330998248686514886,0.34024896265560165975,571,241
Joe Rahon,Saint Mary's,0.36716417910447761194,0.34013605442176870748,335,147
Robert Franks,Washington State,0.34545454545454545455,0.34000000000000000000,220,100
David Crisp,Washington,0.31176470588235294118,0.33990147783251231527,510,203
Michael Qualls,Arkansas,0.34496124031007751938,0.33980582524271844660,258,103
Monte Morris,Iowa State,0.37317784256559766764,0.33974358974358974359,343,156
Prentiss Nixon,Colorado State,0.33509234828496042216,0.33971291866028708134,379,209
DJ Hogg,Texas A&M,0.35162094763092269327,0.33944954128440366972,401,218
Corey Henderson Jr.,Tulsa,0.35369774919614147910,0.33939393939393939394,311,165
Rawle Alkins,Arizona,0.36585365853658536585,0.33913043478260869565,205,115
Chauncey Collins,TCU,0.36040609137055837563,0.33870967741935483871,197,124
Duane Wilson,Texas A&M,0.33418367346938775510,0.33862433862433862434,392,189
Zach Brown,Wichita State,0.32481751824817518248,0.33834586466165413534,274,133
Danuel House,Texas A&M,0.34685598377281947262,0.33823529411764705882,493,204
Ike Nwamu,UNLV,0.35000000000000000000,0.33823529411764705882,240,136
Scottie Lindsey,Northwestern,0.35318275154004106776,0.33796296296296296296,487,216
Khadeen Carrington,Seton Hall,0.34857142857142857143,0.33739837398373983740,525,246
Rodney Bullock,Providence,0.33422459893048128342,0.33701657458563535912,374,181
Christian Vital,Connecticut,0.33717579250720461095,0.33695652173913043478,347,184
Doug Brooks,Virginia Commonwealth,0.31558935361216730038,0.33663366336633663366,263,101
Collin Hartman,Indiana,0.36097560975609756098,0.33663366336633663366,205,101
